index, frame, sample, time, raw[0], cal[0]
160,91,0,0.809182,2313,0.153846
161,91,1,0.814208,2315,0.13718
162,92,0,0.819234,2311,0.170513
163,92,1,0.82426,2315,0.13718
164,93,0,0.829286,2314,0.145513
165,93,1,0.834312,2312,0.16218
166,94,0,0.839338,2314,0.145513
167,94,1,0.844364,2314,0.145513
168,95,0,0.84939,2312,0.16218
169,95,1,0.854416,2311,0.170513
170,96,0,0.859442,2313,0.153846
171,96,1,0.864468,2310,0.178846
172,97,0,0.869494,2314,0.145513
173,97,1,0.874519,2310,0.178846
174,98,0,0.879545,2316,0.128846
175,98,1,0.884571,2312,0.16218
176,99,0,0.889597,2315,0.13718
177,99,1,0.894623,2308,0.195513
178,100,0,0.899649,2315,0.13718
179,100,1,0.904675,2310,0.178846
180,101,0,0.909701,2310,0.178846
181,101,1,0.914727,2316,0.128846
182,102,0,0.919753,2311,0.170513
183,102,1,0.924779,2312,0.16218
184,103,0,0.929805,2311,0.170513
185,103,1,0.934831,2313,0.153846
186,104,0,0.939857,2312,0.16218
187,104,1,0.944883,2310,0.178846
188,105,0,0.949909,2312,0.16218
189,105,1,0.954935,2312,0.16218
190,106,0,0.959961,2310,0.178846
191,106,1,0.964987,2312,0.16218
192,107,0,0.970013,2311,0.170513
193,107,1,0.975039,2312,0.16218
194,108,0,0.980065,2312,0.16218
195,108,1,0.985091,2311,0.170513
196,109,0,0.990117,2311,0.170513
197,109,1,0.995143,2311,0.170513
198,110,0,1.00017,2313,0.153846
199,110,1,1.00519,2312,0.16218
200,111,0,1.01022,2312,0.16218
201,111,1,1.01525,2312,0.16218
202,112,0,1.02027,2312,0.16218
203,112,1,1.0253,2311,0.170513
204,113,0,1.03032,2312,0.16218
205,113,1,1.03535,2312,0.16218
206,114,0,1.04038,2313,0.153846
207,114,1,1.0454,2311,0.170513
208,115,0,1.05043,2311,0.170513
209,115,1,1.05545,2312,0.16218
210,116,0,1.06048,2312,0.16218
211,116,1,1.06551,2312,0.16218
212,117,0,1.07053,2311,0.170513
213,117,1,1.07556,2313,0.153846
214,118,0,1.08058,2312,0.16218
215,118,1,1.08561,2311,0.170513
216,119,0,1.09064,2311,0.170513
217,119,1,1.09566,2311,0.170513
218,120,0,1.10069,2311,0.170513
219,120,1,1.10571,2311,0.170513
220,121,0,1.11074,2312,0.16218
221,121,1,1.11577,2312,0.16218
222,122,0,1.12079,2311,0.170513
