index, frame, sample, time, raw[0], cal[0]
0,19,0,0.00498619,2343,-0.0961538
1,19,1,0.00997238,2343,-0.0961538
2,19,2,0.0149586,2344,-0.104487
3,19,3,0.0199448,2346,-0.121154
4,20,0,0.0249309,2343,-0.0961538
5,20,1,0.0299171,2343,-0.0961538
6,20,2,0.0349033,2344,-0.104487
7,20,3,0.0398895,2346,-0.121154
8,21,0,0.0448757,2383,-0.429487
9,21,1,0.0498619,2384,-0.43782
10,22,0,0.0548481,2387,-0.46282
11,22,1,0.0598343,2386,-0.454487
12,23,0,0.0648204,2391,-0.496154
13,23,1,0.0698066,2393,-0.51282
14,24,0,0.0747928,2397,-0.546154
15,24,1,0.079779,2400,-0.571154
16,25,0,0.0847652,2404,-0.604487
17,25,1,0.0897514,2407,-0.629487
18,26,0,0.0947376,2410,-0.654487
19,26,1,0.0997238,2410,-0.654487
20,27,0,0.10471,2409,-0.646154
21,27,1,0.109696,2410,-0.654487
22,28,0,0.114682,2405,-0.61282
23,28,1,0.119669,2409,-0.646154
24,29,0,0.124655,2413,-0.679487
25,29,1,0.129641,2406,-0.621154
26,30,0,0.134627,2412,-0.671154
27,30,1,0.139613,2409,-0.646154
28,31,0,0.144599,2412,-0.671154
29,31,1,0.149586,2416,-0.704487
30,32,0,0.154572,2422,-0.754487
31,32,1,0.159558,2427,-0.796154
32,33,0,0.164544,2435,-0.86282
33,33,1,0.16953,2438,-0.88782
34,34,0,0.174517,2439,-0.896154
35,34,1,0.179503,2440,-0.904487
36,35,0,0.184489,2441,-0.91282
37,35,1,0.189475,2438,-0.88782
38,36,0,0.194461,2432,-0.83782
39,36,1,0.199448,2427,-0.796154
40,37,0,0.204434,2418,-0.721154
41,37,1,0.20942,2412,-0.671154
42,38,0,0.214406,2403,-0.596154
43,38,1,0.219392,2395,-0.529487
44,39,0,0.224378,2392,-0.504487
45,39,1,0.229365,2387,-0.46282
46,40,0,0.234351,2390,-0.48782
47,40,1,0.239337,2393,-0.51282
48,41,0,0.244323,2390,-0.48782
49,41,1,0.249309,2393,-0.51282
50,42,0,0.254296,2398,-0.554487
51,42,1,0.259282,2403,-0.596154
52,43,0,0.264268,2410,-0.654487
53,43,1,0.269254,2419,-0.729487
54,44,0,0.27424,2426,-0.78782
55,44,1,0.279227,2427,-0.796154
56,45,0,0.284213,2427,-0.796154
57,45,1,0.289199,2424,-0.771154
58,46,0,0.294185,2417,-0.71282
59,46,1,0.299171,2409,-0.646154
60,47,0,0.304157,2401,-0.579487
61,47,1,0.309144,2390,-0.48782
62,48,0,0.31413,2379,-0.396154
63,48,1,0.319116,2371,-0.329487
64,49,0,0.324102,2358,-0.221154
65,49,1,0.329088,2350,-0.154487
66,50,0,0.334075,2347,-0.129487
67,50,1,0.339061,2345,-0.11282
68,51,0,0.344047,2346,-0.121154
69,51,1,0.349033,2352,-0.171154
70,52,0,0.354019,2359,-0.229487
71,52,1,0.359006,2368,-0.304487
72,53,0,0.363992,2369,-0.31282
73,53,1,0.368978,2371,-0.329487
74,54,0,0.373964,2368,-0.304487
75,54,1,0.37895,2364,-0.271154
76,55,0,0.383936,2357,-0.21282
77,55,1,0.388923,2355,-0.196154
78,56,0,0.393909,2345,-0.11282
79,56,1,0.398895,2335,-0.0294871
80,57,0,0.403881,2328,0.0288462
81,57,1,0.408867,2328,0.0288462
82,58,0,0.413854,2324,0.0621796
83,58,1,0.41884,2326,0.0455129
84,59,0,0.423826,2318,0.11218
85,59,1,0.428812,2320,0.0955129
86,60,0,0.433798,2322,0.0788462
87,60,1,0.438785,2320,0.0955129
88,61,0,0.443771,2318,0.11218
89,61,1,0.448757,2321,0.0871796
90,62,0,0.453743,2319,0.103846
91,62,1,0.458729,2319,0.103846
92,63,0,0.463715,2322,0.0788462
93,63,1,0.468702,2318,0.11218
94,64,0,0.473688,2317,0.120513
95,64,1,0.478674,2319,0.103846
96,65,0,0.48366,2317,0.120513
97,65,1,0.488646,2319,0.103846
98,66,0,0.493633,2317,0.120513
99,66,1,0.498619,2315,0.13718
100,67,0,0.503605,2317,0.120513
101,67,1,0.508591,2315,0.13718
102,68,0,0.513577,2318,0.11218
103,68,1,0.518564,2318,0.11218
104,69,0,0.52355,2314,0.145513
105,69,1,0.528536,2320,0.0955129
106,70,0,0.533522,2314,0.145513
107,70,1,0.538508,2316,0.128846
108,71,0,0.543494,2318,0.11218
109,71,1,0.548481,2314,0.145513
110,72,0,0.553467,2317,0.120513
111,72,1,0.558453,2315,0.13718
112,73,0,0.563439,2317,0.120513
113,73,1,0.568425,2316,0.128846
114,74,0,0.573412,2316,0.128846
115,74,1,0.578398,2315,0.13718
116,75,0,0.583384,2316,0.128846
117,75,1,0.58837,2315,0.13718
118,76,0,0.593356,2316,0.128846
119,76,1,0.598343,2315,0.13718
120,77,0,0.603329,2315,0.13718
121,77,1,0.608315,2315,0.13718
122,78,0,0.613301,2316,0.128846
123,78,1,0.618287,2314,0.145513
124,79,0,0.623273,2315,0.13718
125,79,1,0.62826,2315,0.13718
126,80,0,0.633246,2317,0.120513
127,80,1,0.638232,2314,0.145513
128,81,0,0.643218,2315,0.13718
129,81,1,0.648204,2314,0.145513
130,82,0,0.653191,2315,0.13718
131,82,1,0.658177,2314,0.145513
132,83,0,0.663163,2315,0.13718
133,83,1,0.668149,2315,0.13718
134,84,0,0.673135,2315,0.13718
135,84,1,0.678122,2315,0.13718
136,85,0,0.683108,2314,0.145513
137,85,1,0.688094,2315,0.13718
138,86,0,0.69308,2313,0.153846
139,86,1,0.698066,2314,0.145513
140,87,0,0.703052,2314,0.145513
141,87,1,0.708039,2315,0.13718
142,88,0,0.713025,2314,0.145513
143,88,1,0.718011,2315,0.13718
144,89,0,0.722997,2314,0.145513
145,89,1,0.727983,2316,0.128846
146,90,0,0.73297,2315,0.13718
147,90,1,0.737956,2313,0.153846
148,91,0,0.742942,2316,0.128846
149,91,1,0.747928,2313,0.153846
150,92,0,0.752914,2315,0.13718
151,92,1,0.757901,2312,0.16218
152,93,0,0.762887,2315,0.13718
153,93,1,0.767873,2314,0.145513
154,94,0,0.772859,2315,0.13718
155,94,1,0.777845,2313,0.153846
156,95,0,0.782831,2316,0.128846
157,95,1,0.787818,2313,0.153846
158,96,0,0.792804,2315,0.13718
159,96,1,0.79779,2313,0.153846
160,97,0,0.802776,2313,0.153846
161,97,1,0.807762,2313,0.153846
162,98,0,0.812749,2313,0.153846
163,98,1,0.817735,2313,0.153846
164,99,0,0.822721,2314,0.145513
165,99,1,0.827707,2314,0.145513
166,100,0,0.832693,2314,0.145513
167,100,1,0.83768,2313,0.153846
168,101,0,0.842666,2314,0.145513
169,101,1,0.847652,2313,0.153846
170,102,0,0.852638,2314,0.145513
171,102,1,0.857624,2314,0.145513
172,103,0,0.86261,2312,0.16218
173,103,1,0.867597,2314,0.145513
174,104,0,0.872583,2313,0.153846
175,104,1,0.877569,2315,0.13718
176,105,0,0.882555,2313,0.153846
177,105,1,0.887541,2314,0.145513
178,106,0,0.892528,2314,0.145513
179,106,1,0.897514,2313,0.153846
